id,name,description,price,stock
1,Rice,1 kilogram package of white rice,2.69,88.81
2,Black beans,500 gram package of black beans,1.89,52.67
3,Oil,1 liter bottle of vegetable oil,4.07,75.93
4,Milk,1 liter bottle of skim milk,1.7,23.29
5,Eggs,Dozen fresh eggs,2.85,51.46
6,Bread,White sandwich bread,1.35,86.21
7,Cheese,Fresh cow cheese,2.83,32.49
8,Ham,200 gram package of cooked ham,2.82,21.04
9,Tuna,Can of tuna in olive oil,2.36,15.94
10,Pasta,500 gram package of short pasta,0.83,82.76
11,Tomato sauce,500 gram jar of tomato sauce,1.92,46.39
12,Coffee,250 gram package of ground coffee,4.8,11.9
13,Sugar,1 kilogram package of white sugar,1.15,96.95
14,Salt,1 kilogram package of fine salt,0.92,111.81
15,Vinegar,500 ml bottle of apple cider vinegar,1.52,69.34
16,Orange juice,1 liter bottle of natural orange juice,3.18,46.67
17,Soda,2 liter bottle of cola soda,1.66,24.83
18,Potato chips,200 gram bag of potato chips,0.91,78.42
19,Cookies,250 gram package of oatmeal cookies,1.34,54.91
20,Gum,10 piece pack of mint gum,0.52,124.75
