id,name,description,price,stock
1,Rice,1 kilogram package of white rice,2.98,121.83
2,Black beans,500 gram package of black beans,1.74,70.6
3,Oil,1 liter bottle of vegetable oil,3.63,107.07
4,Milk,1 liter bottle of skim milk,2.16,31.33
5,Eggs,Dozen fresh eggs,3.44,45.4
6,Bread,White sandwich bread,1.59,48.53
7,Cheese,Fresh cow cheese,2.96,31.95
8,Ham,200 gram package of cooked ham,3.25,20.77
9,Tuna,Can of tuna in olive oil,1.73,17.83
10,Pasta,500 gram package of short pasta,0.85,87.17
11,Tomato sauce,500 gram jar of tomato sauce,1.59,56.08
12,Coffee,250 gram package of ground coffee,4.57,14.12
13,Sugar,1 kilogram package of white sugar,1.6,110.54
14,Salt,1 kilogram package of fine salt,0.69,132.19
15,Vinegar,500 ml bottle of apple cider vinegar,1.36,51.15
16,Orange juice,1 liter bottle of natural orange juice,3.33,43.87
17,Soda,2 liter bottle of cola soda,1.37,28.95
18,Potato chips,200 gram bag of potato chips,1.04,79.71
19,Cookies,250 gram package of oatmeal cookies,1.54,46.39
20,Gum,10 piece pack of mint gum,0.45,97.93
