id,name,description,price,stock
1,Rice,1 kilogram package of white rice,2.86,100
2,Black beans,500 gram package of black beans,1.9,50
3,Oil,1 liter bottle of vegetable oil,4.35,75
4,Milk,1 liter bottle of skim milk,1.91,25
5,Eggs,Dozen fresh eggs,3.53,40
6,Bread,White sandwich bread,1.45,60
7,Cheese,Fresh cow cheese,3.23,30
8,Ham,200 gram package of cooked ham,2.98,20
9,Tuna,Can of tuna in olive oil,2.1,15
10,Pasta,500 gram package of short pasta,0.9,70
11,Tomato sauce,500 gram jar of tomato sauce,1.6,45
12,Coffee,250 gram package of ground coffee,5.11,10
13,Sugar,1 kilogram package of white sugar,1.43,80
14,Salt,1 kilogram package of fine salt,0.86,90
15,Vinegar,500 ml bottle of apple cider vinegar,1.57,50
16,Orange juice,1 liter bottle of natural orange juice,3.59,35
17,Soda,2 liter bottle of cola soda,1.65,20
18,Potato chips,200 gram bag of potato chips,0.96,60
19,Cookies,250 gram package of oatmeal cookies,1.63,55
20,Gum,10 piece pack of mint gum,0.51,100
